timestamp,CROISSANTS,DJEMBES,JAMS,KELP,PICNIC_BASKET1,PICNIC_BASKET2,RAINFOREST_RESIN,SQUID_INK,SYNTHETIC_BASKET,SPREAD,SPREAD_PCT
0,4275.0,13409.5,6542.0,2033.5,58710.5,30255.0,10001.5,1836.0,58685.5,25.0,0.042599960808036054
100,4275.5,13409.0,6542.0,2034.5,58710.5,30257.5,10003.0,1838.0,58688.0,22.5,0.03833833151581243
200,4275.5,13409.5,6542.5,2033.5,58711.5,30258.5,10000.0,1833.5,58690.0,21.5,0.036633157266996084
300,4275.5,13409.0,6542.0,2034.5,58710.5,30259.0,10000.0,1836.5,58688.0,22.5,0.03833833151581243
400,4274.5,13410.5,6541.0,2033.5,58703.5,30258.0,10001.0,1834.5,58680.5,23.0,0.03919530338016888
500,4274.5,13410.5,6541.5,2033.0,58702.0,30259.5,10001.0,1835.0,58682.0,20.0,0.03408200129511604
600,4275.0,13411.0,6542.0,2034.0,58699.5,30259.0,10000.0,1834.5,58687.0,12.5,0.02129943599093496
700,4274.5,13411.5,6542.5,2033.5,58692.5,30253.5,10000.0,1835.5,58686.0,6.5,0.011075895443547012
800,4274.5,13411.5,6542.5,2032.5,58690.5,30253.5,9998.0,1836.5,58686.0,4.5,0.007667927614763316
900,4274.5,13412.5,6542.5,2033.0,58693.0,30251.5,9997.0,1841.5,58687.0,6.0,0.01022372927564878
1000,4274.5,13413.5,6544.0,2033.5,58697.5,30258.5,10000.0,1842.5,58692.5,5.0,0.008518976019082506
1100,4274.5,13413.5,6543.0,2033.5,58691.5,30254.5,9999.0,1841.5,58689.5,2.0,0.0034077645916220107
1200,4274.0,13412.5,6542.5,2031.5,58685.5,30254.5,10000.0,1840.5,58684.0,1.5,0.0025560629813918614
1300,4274.0,13413.0,6542.5,2033.0,58688.5,30248.0,10003.5,1841.5,58684.5,4.0,0.0068161098756911965
